ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
55,WISCONSIN,WI,Door,55029,"Door County, Wisconsin",481.9623953,27439,0,24717,97,13196,326,2236,288,553,143,36155,1722,1293,184,7690,57,4500,89,3777,256,819,180,1627,45,132,84,1323,156,1422,205,140,49,490,169,355,129,8.3,1.1,4.0,1.0,36155.0,1722.0,6.0,0.9,28.0,0.2,16.4,0.3,13.9,0.9,6.2,1.4,5.9,0.2,0.5,0.3,5.4,0.6,5.8,0.8,1.1,0.4,3.7,1.3,1.3,0.5,0.1268,0.6479,0.0704,0.1268,0.9719,0.169,0.9577,0.0423,0.6197,0.1549,1.7746,0.3662,0.3239,0.3099,0.6338,0.2113,0.5634,0.5493,0.169,0.1268,0.2394,1.6479,0.2254,5.0282,0.1408,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1135,217,4.2,0.8,26202
55,WISCONSIN,WI,Pierce,55093,"Pierce County, Wisconsin",573.8526829,41603,0,16495,117,15367,191,3791,498,619,140,32525,850,1364,204,5692,46,8703,0,4388,374,1063,166,2333,23,433,208,1524,251,919,121,211,121,567,146,2703,252,9.8,1.3,2.6,0.6,32525.0,850.0,5.2,0.8,13.7,0.1,20.9,0.0,10.6,0.9,6.9,1.1,5.6,0.1,1.1,0.5,9.2,1.5,5.6,0.7,1.4,0.8,3.7,1.0,6.5,0.6,0.2958,0.0986,0.1549,0.0845,0.6338,0.0845,0.0704,0.4366,0.1268,0.2958,0.9296,0.0141,0.2394,0.7746,1.014,0.5493,0.8592,0.493,0.338,0.1268,0.9577,2.7747,0.5915,5.3521,0.1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2055,290,5.0,0.7,30322
55,WISCONSIN,WI,Oconto,55083,"Oconto County, Wisconsin",997.4809583,37556,0,24120,143,15940,238,3481,368,698,124,29392,741,2659,255,7326,69,7634,40,5201,259,994,149,1825,18,163,72,379,96,3110,199,234,71,497,90,303,93,9.4,1.0,3.5,0.6,29392.0,741.0,9.7,0.9,19.5,0.2,20.3,0.1,13.9,0.7,6.2,0.9,4.9,0.0,0.5,0.2,1.6,0.4,12.9,0.8,1.5,0.4,3.1,0.6,0.8,0.2,0.2535,0.4507,0.507,0.7324,1.9436,0.507,0.6056,0.3099,0.6197,0.1549,1.6901,0.2817,0.1268,0.3099,0.4367,0.1549,0.0563,0.9437,0.4225,0.0141,0.0423,1.4789,0.169,5.5493,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1793,217,4.8,0.6,25867
55,WISCONSIN,WI,Outagamie,55087,"Outagamie County, Wisconsin",637.5783624,184754,0,76437,162,72947,542,15545,1162,2953,332,32098,539,7813,635,25661,51,44136,0,18919,823,5493,423,22625,132,1710,259,7151,520,891,168,1169,270,2939,312,3093,309,8.6,0.6,2.9,0.3,32098.0,539.0,6.3,0.5,13.9,0.1,23.9,0.0,10.3,0.4,7.5,0.6,12.2,0.1,1.0,0.1,9.4,0.7,1.2,0.2,1.6,0.4,4.0,0.4,1.7,0.2,0.1549,0.169,0.169,0.1549,0.6478,0.0986,0.0845,0.8451,0.0986,0.493,1.5212,0.1831,0.7746,0.7324,1.507,0.831,0.8873,0.0704,0.4366,0.2254,0.4366,2.0563,0.2817,5.7323,0.1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8440,686,4.6,0.4,198888
55,WISCONSIN,WI,Pepin,55091,"Pepin County, Wisconsin",232.0065609,7262,0,3669,50,3095,81,903,142,98,31,29227,1397,468,68,1543,11,1542,16,859,87,224,48,245,12,37,42,120,31,174,34,27,12,181,47,103,67,12.6,2.0,2.6,0.8,29227.0,1397.0,9.0,1.3,21.2,0.2,21.2,0.2,12.0,1.2,7.2,1.6,3.4,0.2,0.5,0.6,3.3,0.8,4.7,0.9,0.9,0.4,5.8,1.5,1.4,0.9,0.662,0.0986,0.5352,0.6338,1.9296,0.493,0.7042,0.4789,0.338,0.4225,1.9436,0.4507,0.0141,0.3099,0.324,0.1127,0.3099,0.3944,0.0282,0.6479,0.3099,1.6903,0.2535,5.8875,0.1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,124,8.7,1.7,5734
55,WISCONSIN,WI,Polk,55095,"Polk County, Wisconsin",914.0656617,43349,0,24553,100,18314,282,4190,343,924,130,29489,567,2031,183,8427,33,9305,0,5905,279,1544,162,2116,21,139,75,819,105,2152,190,227,50,643,88,530,157,9.8,0.8,4.1,0.6,29489.0,567.0,6.5,0.6,19.4,0.1,21.5,0.0,13.8,0.6,8.4,0.9,4.9,0.0,0.3,0.2,3.3,0.4,8.8,0.8,1.2,0.3,3.5,0.5,1.2,0.4,0.2958,0.6901,0.493,0.1972,1.6761,0.3239,0.5915,0.507,0.6056,0.7606,2.4647,0.7887,0.1268,0.1831,0.3099,0.0704,0.3099,0.7606,0.2113,0.0704,0.1831,1.5353,0.1831,5.986,0.2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2843,286,6.6,0.7,36654
55,WISCONSIN,WI,Columbia,55021,"Columbia County, Wisconsin",765.5452803,56954,0,26621,160,23790,342,4522,569,1064,164,33012,805,2837,298,9671,49,12467,0,6299,425,1902,245,4066,8,439,119,1781,252,893,135,339,102,1193,185,1435,202,8.2,1.0,3.4,0.5,33012.0,805.0,7.0,0.7,17.0,0.1,21.9,0.0,11.3,0.8,8.0,1.0,7.1,0.0,0.8,0.2,6.7,0.9,3.4,0.5,1.4,0.4,5.0,0.8,2.5,0.4,0.1127,0.4085,0.1127,0.2958,0.9297,0.1408,0.3521,0.6056,0.2113,0.6338,1.8028,0.3944,0.4366,0.6197,1.0563,0.5775,0.6761,0.2394,0.338,0.3662,0.6056,2.2253,0.338,6.0141,0.2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,349,5.2,0.6,51173
55,WISCONSIN,WI,Florence,55037,"Florence County, Wisconsin",488.1226805,4337,0,4787,97,2010,106,420,82,124,44,30674,2986,234,52,1083,48,696,26,877,124,101,41,114,46,0,36,66,30,533,95,55,22,100,40,56,84,9.8,1.9,6.1,2.1,30674.0,2986.0,6.9,1.5,25.0,1.1,16.0,0.6,20.5,2.8,5.0,2.1,2.6,1.1,0.0,0.9,1.4,0.6,11.1,2.0,2.7,1.1,5.0,2.0,1.3,1.9,0.2958,0.9014,0.2676,0.2676,1.7324,0.3662,0.9014,0.0282,0.9859,0.0282,1.9437,0.4648,0.0,0.0,0.0,0.0,0.0282,0.8873,0.9437,0.3662,0.2394,2.4648,0.4225,6.1409,0.2394,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,1,4,237,49,5.5,1.2,2808
55,WISCONSIN,WI,Lincoln,55069,"Lincoln County, Wisconsin",878.7039166,27848,0,17089,99,12547,228,2474,279,569,92,29642,783,1799,186,5703,27,5283,31,3748,273,926,140,1231,4,17,59,699,142,1064,120,137,56,662,146,703,174,9.1,1.0,3.9,0.6,29642.0,783.0,8.7,0.9,20.5,0.1,19.0,0.1,13.7,1.0,7.4,1.1,4.4,0.0,0.1,0.2,4.1,0.8,6.2,0.7,1.1,0.5,5.3,1.1,2.5,0.6,0.2394,0.6338,0.4366,0.5493,1.8591,0.4366,0.6761,0.1408,0.5915,0.4507,1.8591,0.4085,0.0704,0.0141,0.0845,0.0141,0.4507,0.6197,0.169,0.507,0.6056,2.352,0.4085,6.1547,0.2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,177,4.4,0.7,24805
55,WISCONSIN,WI,Vilas,55125,"Vilas County, Wisconsin",857.7075501,21593,0,25691,303,10914,397,2910,370,725,192,31206,1417,1127,137,6513,44,3555,31,3653,291,747,132,3267,27,27,58,411,69,1208,183,138,51,390,74,224,71,13.6,1.7,7.3,1.9,31206.0,1417.0,6.7,0.8,30.2,0.2,16.5,0.1,17.1,1.4,6.8,1.2,15.1,0.1,0.1,0.3,1.6,0.3,4.7,0.7,1.3,0.5,3.6,0.6,1.0,0.3,0.7606,0.9718,0.2254,0.2394,2.1972,0.6056,1.0,0.0563,0.8732,0.2535,2.183,0.6056,0.831,0.0141,0.8451,0.4507,0.0563,0.3944,0.2676,0.0986,0.1268,0.9437,0.0282,6.169,0.2676,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1361,182,6.4,0.9,20013
